library	flavor	mode	capacity	producers	consumers	api	batch_support	items	median_melem_s	min_melem_s	max_melem_s	stage
kanal	mpmc	async	128	1	1	single	none	4837982	76.329	71.852	80.056	stream
async-channel	mpmc	async	128	1	1	single	none	1468657	24.209	24.128	24.477	stream
fibre	mpmc	async	128	1	1	batch-512	send and receive	8000000	155.397	154.474	156.413	stream
flume	mpmc	async	128	1	1	batch-512	receive only	3318624	54.581	54.013	54.827	stream
fibre	mpmc	async	128	16	16	single	send and receive	1438384	23.708	18.621	25.281	stream
flume	mpmc	async	128	16	16	single	receive only	755920	13.077	12.865	13.201	stream
kanal	mpmc	async	128	16	16	single	none	2385376	45.833	39.071	49.943	stream
async-channel	mpmc	async	128	16	16	single	none	411696	7.147	5.443	7.330	stream
fibre	mpmc	async	128	16	16	batch-512	send and receive	4381600	74.850	68.551	88.024	stream
flume	mpmc	async	128	16	16	batch-512	receive only	936320	16.648	16.112	17.626	stream
fibre	mpmc	async	128	64	64	single	send and receive	1209536	21.339	14.574	22.186	stream
flume	mpmc	async	128	64	64	single	receive only	643136	13.105	12.940	13.296	stream
kanal	mpmc	async	128	64	64	single	none	102464	9.654	8.548	19.245	stream
async-channel	mpmc	async	128	64	64	single	none	386240	7.012	6.096	7.387	stream
fibre	mpmc	async	128	64	64	batch-512	send and receive	4326656	72.025	71.101	75.740	stream
flume	mpmc	async	128	64	64	batch-512	receive only	852160	16.102	15.241	16.648	stream
fibre	mpmc	async	128	16	1	single	send and receive	1095504	18.451	18.156	18.781	stream
flume	mpmc	async	128	16	1	single	receive only	214448	3.515	3.397	3.782	stream
kanal	mpmc	async	128	16	1	single	none	630288	22.288	16.699	23.584	stream
async-channel	mpmc	async	128	16	1	single	none	194464	3.523	3.475	3.600	stream
fibre	mpmc	async	128	16	1	batch-512	send and receive	3541744	58.462	57.508	59.747	stream
flume	mpmc	async	128	16	1	batch-512	receive only	435472	7.400	7.092	7.512	stream
fibre	mpmc	async	128	1	16	single	send and receive	1214296	20.282	20.158	20.696	stream
flume	mpmc	async	128	1	16	single	receive only	319791	5.261	5.055	5.363	stream
kanal	mpmc	async	128	1	16	single	none	798086	14.190	12.761	17.522	stream
async-channel	mpmc	async	128	1	16	single	none	217665	3.490	3.336	3.571	stream
fibre	mpmc	async	128	1	16	batch-512	send and receive	4578673	76.326	75.496	77.213	stream
flume	mpmc	async	128	1	16	batch-512	receive only	308043	5.438	5.156	5.763	stream
fibre	mpmc	async	128	64	1	single	send and receive	403456	7.112	6.924	7.335	stream
flume	mpmc	async	128	64	1	single	receive only	56512	0.983	0.957	1.061	stream
kanal	mpmc	async	128	64	1	single	none	167680	30.584	10.327	32.074	stream
async-channel	mpmc	async	128	64	1	single	none	73216	1.237	1.173	1.356	stream
fibre	mpmc	async	128	64	1	batch-512	send and receive	1218368	21.520	19.940	23.464	stream
flume	mpmc	async	128	64	1	batch-512	receive only	261504	4.577	4.425	5.043	stream
fibre	mpmc	async	128	1	64	single	send and receive	618008	10.262	9.899	10.623	stream
flume	mpmc	async	128	1	64	single	receive only	63079	0.981	0.914	1.054	stream
kanal	mpmc	async	128	1	64	single	none	253527	2.080	1.400	10.171	stream
async-channel	mpmc	async	128	1	64	single	none	71055	1.060	0.973	1.196	stream
fibre	mpmc	async	128	1	64	batch-512	send and receive	1657662	29.004	28.699	31.226	stream
flume	mpmc	async	128	1	64	batch-512	receive only	45858	0.744	0.693	0.826	stream
fibre	mpmc	async	1024	1	1	single	send and receive	3534551	58.801	57.917	59.967	stream
flume	mpmc	async	1024	1	1	single	receive only	1225560	23.647	20.225	28.210	stream
kanal	mpmc	async	1024	1	1	single	none	4878539	81.194	76.798	83.715	stream
async-channel	mpmc	async	1024	1	1	single	none	1287001	21.184	21.128	21.335	stream
fibre	mpmc	async	1024	1	1	batch-512	send and receive	8000000	213.505	212.367	214.219	stream
flume	mpmc	async	1024	1	1	batch-512	receive only	3428715	57.064	55.550	57.718	stream
fibre	mpmc	async	1024	16	16	single	send and receive	1865968	30.166	24.591	31.671	stream
flume	mpmc	async	1024	16	16	single	receive only	847856	16.304	15.353	17.107	stream
kanal	mpmc	async	1024	16	16	single	none	144720	7.663	6.361	8.381	stream
async-channel	mpmc	async	1024	16	16	single	none	567376	9.512	8.296	10.225	stream
fibre	mpmc	async	1024	16	16	batch-512	send and receive	8000000	168.163	148.963	177.337	stream
flume	mpmc	async	1024	16	16	batch-512	receive only	1136272	26.177	24.208	26.855	stream
fibre	mpmc	async	1024	64	64	single	send and receive	1789504	25.675	16.719	27.706	stream
flume	mpmc	async	1024	64	64	single	receive only	672704	16.109	15.815	16.543	stream
kanal	mpmc	async	1024	64	64	single	none	337216	20.844	13.250	22.796	stream
async-channel	mpmc	async	1024	64	64	single	none	503808	9.646	9.039	9.890	stream
fibre	mpmc	async	1024	64	64	batch-512	send and receive	8000000	164.755	159.240	179.697	stream
flume	mpmc	async	1024	64	64	batch-512	receive only	932224	24.912	22.956	27.788	stream
fibre	mpmc	async	1024	16	1	single	send and receive	1220640	20.411	19.814	21.001	stream
flume	mpmc	async	1024	16	1	single	receive only	302112	5.119	4.837	5.421	stream
kanal	mpmc	async	1024	16	1	single	none	267808	3.641	2.946	7.096	stream
async-channel	mpmc	async	1024	16	1	single	none	434240	7.391	7.152	7.529	stream
fibre	mpmc	async	1024	16	1	batch-512	send and receive	7052832	115.147	113.739	116.600	stream
flume	mpmc	async	1024	16	1	batch-512	receive only	1049424	18.060	17.549	18.332	stream
fibre	mpmc	async	1024	1	16	single	send and receive	1307088	21.733	21.568	22.506	stream
flume	mpmc	async	1024	1	16	single	receive only	412804	6.892	6.735	7.112	stream
kanal	mpmc	async	1024	1	16	single	none	283691	6.443	5.360	11.550	stream
async-channel	mpmc	async	1024	1	16	single	none	351287	7.478	6.884	7.713	stream
fibre	mpmc	async	1024	1	16	batch-512	send and receive	7766361	130.784	129.126	132.663	stream
flume	mpmc	async	1024	1	16	batch-512	receive only	447675	7.784	7.674	8.618	stream
fibre	mpmc	async	1024	64	1	single	send and receive	701824	10.360	9.751	10.544	stream
flume	mpmc	async	1024	64	1	single	receive only	83392	1.431	1.284	1.537	stream
kanal	mpmc	async	1024	64	1	single	none	327040	9.161	7.016	13.372	stream
async-channel	mpmc	async	1024	64	1	single	none	250560	3.949	3.422	4.303	stream
fibre	mpmc	async	1024	64	1	batch-512	send and receive	4237824	70.410	66.898	73.029	stream
flume	mpmc	async	1024	64	1	batch-512	receive only	896000	15.354	15.125	16.073	stream
fibre	mpmc	async	1024	1	64	single	send and receive	904122	15.027	14.434	17.974	stream
flume	mpmc	async	1024	1	64	single	receive only	95210	1.673	1.422	1.830	stream
kanal	mpmc	async	1024	1	64	single	none	94447	2.934	1.160	31.822	stream
async-channel	mpmc	async	1024	1	64	single	none	158074	2.277	2.060	2.516	stream
fibre	mpmc	async	1024	1	64	batch-512	send and receive	4820039	88.106	85.059	99.757	stream
flume	mpmc	async	1024	1	64	batch-512	receive only	62753	1.025	0.810	1.148	stream
fibre	mpmc	async	unbounded	1	1	single	send and receive	1000000	74.641	51.895	75.514	stream
flume	mpmc	async	unbounded	1	1	single	receive only	1000000	50.234	47.114	52.481	stream
kanal	mpmc	async	unbounded	1	1	single	none	1000000	100.543	97.881	105.296	stream
async-channel	mpmc	async	unbounded	1	1	single	none	1000000	28.920	27.368	29.217	stream
fibre	mpmc	async	unbounded	1	1	batch-512	send and receive	1000000	182.938	179.407	186.727	stream
flume	mpmc	async	unbounded	1	1	batch-512	receive only	1000000	87.585	86.810	89.072	stream
fibre	mpmc	async	unbounded	16	16	single	send and receive	688928	9.443	8.392	10.531	stream
flume	mpmc	async	unbounded	16	16	single	receive only	881024	14.969	13.383	17.129	stream
kanal	mpmc	async	unbounded	16	16	single	none	149264	7.956	6.156	9.377	stream
async-channel	mpmc	async	unbounded	16	16	single	none	450464	8.332	8.109	9.330	stream
fibre	mpmc	async	unbounded	16	16	batch-512	send and receive	1000000	125.190	115.748	134.037	stream
flume	mpmc	async	unbounded	16	16	batch-512	receive only	1000000	17.945	17.306	20.014	stream
fibre	mpmc	async	unbounded	64	64	single	send and receive	456896	8.436	7.819	10.215	stream
flume	mpmc	async	unbounded	64	64	single	receive only	991104	16.405	15.442	17.879	stream
kanal	mpmc	async	unbounded	64	64	single	none	169472	10.402	9.069	21.050	stream
async-channel	mpmc	async	unbounded	64	64	single	none	493376	9.038	8.120	9.697	stream
fibre	mpmc	async	unbounded	64	64	batch-512	send and receive	1000000	118.221	114.382	132.937	stream
flume	mpmc	async	unbounded	64	64	batch-512	receive only	935488	26.264	24.170	29.441	stream
fibre	mpmc	async	unbounded	16	1	single	send and receive	830720	12.984	11.674	13.749	stream
flume	mpmc	async	unbounded	16	1	single	receive only	1000000	28.174	24.778	29.137	stream
kanal	mpmc	async	unbounded	16	1	single	none	213856	19.262	14.398	22.305	stream
async-channel	mpmc	async	unbounded	16	1	single	none	583088	10.323	9.689	10.435	stream
fibre	mpmc	async	unbounded	16	1	batch-512	send and receive	1000000	201.747	195.516	210.489	stream
flume	mpmc	async	unbounded	16	1	batch-512	receive only	1000000	39.060	37.168	43.218	stream
fibre	mpmc	async	unbounded	1	16	single	send and receive	1000000	28.976	22.611	33.202	stream
flume	mpmc	async	unbounded	1	16	single	receive only	426158	7.411	7.142	7.706	stream
kanal	mpmc	async	unbounded	1	16	single	none	101817	6.579	3.448	67.479	stream
async-channel	mpmc	async	unbounded	1	16	single	none	976084	17.091	16.257	17.866	stream
fibre	mpmc	async	unbounded	1	16	batch-512	send and receive	1000000	91.253	87.125	104.177	stream
flume	mpmc	async	unbounded	1	16	batch-512	receive only	457153	7.950	7.567	8.141	stream
fibre	mpmc	async	unbounded	64	1	single	send and receive	713088	11.884	11.641	12.571	stream
flume	mpmc	async	unbounded	64	1	single	receive only	1000000	25.738	24.730	27.873	stream
kanal	mpmc	async	unbounded	64	1	single	none	252992	23.302	20.925	30.748	stream
async-channel	mpmc	async	unbounded	64	1	single	none	585344	9.870	9.109	10.132	stream
fibre	mpmc	async	unbounded	64	1	batch-512	send and receive	1000000	203.104	189.542	206.954	stream
flume	mpmc	async	unbounded	64	1	batch-512	receive only	1000000	38.327	34.420	40.534	stream
fibre	mpmc	async	unbounded	1	64	single	send and receive	1000000	23.640	16.670	25.247	stream
flume	mpmc	async	unbounded	1	64	single	receive only	100418	1.645	1.551	1.806	stream
kanal	mpmc	async	unbounded	1	64	single	none	76102	4.306	1.676	9.955	stream
async-channel	mpmc	async	unbounded	1	64	single	none	1000000	11.675	9.479	18.398	stream
fibre	mpmc	async	unbounded	1	64	batch-512	send and receive	1000000	93.237	89.816	106.610	stream
flume	mpmc	async	unbounded	1	64	batch-512	receive only	62016	1.057	0.988	1.089	stream
fibre	oneshot	sync	1	1	1	single	none	2541085	41.930	41.242	42.292	full-cycle
fibre-exclusive	oneshot	sync	1	1	1	single	none	2760958	46.993	46.014	47.565	full-cycle
fibre-pool	oneshot	sync	1	1	1	single	none	7081955	118.633	118.200	120.624	full-cycle
fibre-pool-host	oneshot	sync	1	1	1	single	none	6796949	114.411	113.308	115.441	full-cycle
tokio	oneshot	sync	1	1	1	single	none	1867613	31.769	31.122	32.687	full-cycle
oneshot	oneshot	sync	1	1	1	single	none	2983413	48.733	47.362	49.116	full-cycle
lite-sync	oneshot	sync	1	1	1	single	none	4045361	65.750	64.285	67.332	full-cycle
sync-oneshot	oneshot	sync	1	1	1	single	none	2535029	44.600	41.478	45.970	full-cycle
fibre	oneshot	sync	1	1	1	single	none	1000000	82.752	81.962	84.161	handoff
fibre-exclusive	oneshot	sync	1	1	1	single	none	1000000	103.229	37.617	104.496	handoff
fibre-pool	oneshot	sync	1	1	1	single	none	1000000	189.734	181.857	192.856	handoff
fibre-pool-host	oneshot	sync	1	1	1	single	none	1000000	190.464	180.968	192.760	handoff
tokio	oneshot	sync	1	1	1	single	none	1000000	50.145	48.888	51.054	handoff
oneshot	oneshot	sync	1	1	1	single	none	1000000	97.536	95.033	99.220	handoff
lite-sync	oneshot	sync	1	1	1	single	none	1000000	97.692	77.320	214.016	handoff
sync-oneshot	oneshot	sync	1	1	1	single	none	1000000	80.587	75.984	82.551	handoff
fibre	oneshot	async	1	1	1	single	none	2256329	42.900	41.303	43.328	full-cycle
fibre-exclusive	oneshot	async	1	1	1	single	none	2845204	52.395	51.583	52.519	full-cycle
fibre-pool	oneshot	async	1	1	1	single	none	7099713	120.374	97.681	121.018	full-cycle
fibre-pool-host	oneshot	async	1	1	1	single	none	6677111	110.562	109.946	111.101	full-cycle
tokio	oneshot	async	1	1	1	single	none	2378783	39.046	38.745	39.496	full-cycle
futures	oneshot	async	1	1	1	single	none	2279575	37.694	37.486	37.898	full-cycle
oneshot	oneshot	async	1	1	1	single	none	2830423	45.643	45.432	46.113	full-cycle
async-oneshot	oneshot	async	1	1	1	single	none	3219926	53.233	52.128	53.691	full-cycle
lite-sync	oneshot	async	1	1	1	single	none	3560411	59.851	51.745	61.941	full-cycle
fibre	oneshot	async	1	1	1	single	none	1000000	55.255	54.493	56.701	handoff
fibre-exclusive	oneshot	async	1	1	1	single	none	1000000	57.860	53.077	75.355	handoff
fibre-pool	oneshot	async	1	1	1	single	none	1000000	129.581	127.535	133.749	handoff
fibre-pool-host	oneshot	async	1	1	1	single	none	1000000	102.139	99.222	107.735	handoff
tokio	oneshot	async	1	1	1	single	none	1000000	42.544	41.913	42.983	handoff
futures	oneshot	async	1	1	1	single	none	1000000	60.780	59.685	62.073	handoff
oneshot	oneshot	async	1	1	1	single	none	1000000	79.095	77.029	81.209	handoff
async-oneshot	oneshot	async	1	1	1	single	none	1000000	77.167	74.114	79.276	handoff
lite-sync	oneshot	async	1	1	1	single	none	1000000	184.158	154.155	190.116	handoff
